,4.0 out of 5 stars,5.0 out of 5 stars,3.0 out of 5 stars,1.0 out of 5 stars,2.0 out of 5 stars
0,,"Tiny tv and kitchen aid! I love my tiny tv when the family is busy I have my own and a lil peace of mind!! It’s my hand held book tv and recipe helper in the kitchen, all in one! I’m very happy with my purchase",,,
1,,"Great screen poor audio The audio quality of the tablet leaves much to be desired, too low and lacking substance, all other features of the device is 5 ⭐⭐⭐⭐⭐",,,
2,"Lo fácil de usar Es bueno, manejable y muy claroMe gusta mucho.",,,,
3,,Nice I love my Fire. Great quality. Easy read screen that’s also good with pictures and graphics. Didn’t mind spending the extra bucks for the no ad version.,,,
4,Useful Personal use!,,,,
5,great buy over all reader great  nice size easy reading  must get cover for the reader,,,,
6,,Happiness is my Fire 8! I like my new kindle very much...it displays a little differently but I am getting use to it now../and it's fast!,,,
7,Great for recipes It's great for my kitchen cooking. Just wish it was louder when playing music,,,,
8,,"This is a Wonderful Upgrade My previous Kindle Fire 8 was almost 5 years old and not holding a charge for many hours. But this new one is crisp visually, good sound, responds quickly to touch screen and, so far, the battery holds much longer.",,,
9,,great tablet This is a great tablet - I have an older one Fire 7  and love it -this one is a little bigger and has some great upgrades --,,,
0,,Speed Says It All I use this tablet for personal uses. It is much faster than my previous Fire tablet.Colors are great and it moves to different pages so much better. Also charging seems to last longer too!,,,
1,,Great Tablet Great tablet for the money. This one replaces an older HD8 I had. This one is much quicker very pleased with the new HD8 plus. Only thing is I wish it had Google Play store at least as an option.,,,
2,,,,"Waste of Money It worked a couple of times then nothing black screen with an error code. Then have to wait till the battery dies, plug it in, and wait for it to charge. Then if the error doesn't come back I can use it for a short time then poof. I have reset the thing several times. the support wasn't any help. Now I am stuck with this thing that rarely works. Save your time and Money. Don't buy this device.",
3,review of product size of the screen is good - use generally for reading and games,,,,
4,,"Love it 😍 I absolutely love it, The battery myself a very long time there’s so much to do on it and I can actually fit it in my purse because I always carry a smaller one.",,,
5,,Long lasting battery I love my kindle with Alexa!! The touch screen quality is phenomenal and and my battery last really long even if I'm watching a movie!! I highly recommend this kindle!!,,,
6,,,"Great for some things, ""just okay"" for others Overall, I like it. The thing I dislike most is the absolutely HORRIBLE autocorrect, which gets ir wrong more often than not. Also, the way larger fonts are handled is not good. Stuff gets cut Of that shouldn't.  Also wish i could use Chrome. The proprietary browser leaves much to be desired.",,
7,,I like it. I like that you don't have to recharge the battery so often. Also that it seems much faster.,,,
8,,Fire HD 8 Plus tablet is really a good deal for the price. I mostly use it for reading Kindle books and I like the wireless charging capabilities.,,,
9,,"Like it! Wish now I would have bought the bigger one!  Next time I will.  Use it all the time.  Read, play games, integrates with my security system so I can see my cameras on it!  Yep I like it!",,,
0,,"Haven't been disappointed! Have few previous Amazon tablets and haven't been disappointed. Very convenience, easy to use, my nephew love them and the apps are getting better since it started. Still doesnt have all Google apps but is better than before...",,,
1,,Better then a book Use it every day to read. Don't know what I did without it  perfect size to take with you,,,
2,,,Does not work as expected Click on one book I get details of another book that wasn’t even near the book I clicked on. Not thrilled with this so far. Software up to date so not sure why this happens from time to time.,,
3,,"I Love my ""Amazon Fire""!! Dollar for dollar Amazon's ""Kindle FIRE"" has to be one of the BEST values in the tablet market. Easy touch on an extremely clear screen & long lasting battery power...",,,
4,,"Amazon fire 8” had tablet Very clear screen, I even like it better than the 10”.  It’s a great little tablet.  Great sound also!",,,
5,,Great Screen outstanding battery life This is my first fire tab got it during Amazon days it was good deal it replaced a Tab 6 so its like 10x better screen and battery life very happy with this device.,,,
6,,This is just amazing a must buy for media. This is amazing and the battery life is awesome. Super fast and the speakers sound great. Much better than I thought. It was truest the kindle fire to buy.,,,
7,,Escape from Apple I replaced Apple iPad with Fire HD 8 Plus tablet because of TERRIBLE Apple support.  It works very well.  I love it.,,,
8,,"Best tablet running Android 9. The best tablet running Android 9. USB-C charging and data port but no video. Wireless charging (non of the iPads wireless recharge). 3 GB ram, 64 GB internal storage. I get around 8-10 hour battery life. pretty solid built.",,,
9,,,"Good Tablet but the with ads does suck I like the tablet, pretty decent.  When I ordered there was not a visible tab to click for the one with no Ads.  Now they have it up and functional but at the time they didn't  was confusing.  I hate the ads,  had I known there was a no ad option I would have gotten it.",,
0,,Good entertainment After 8 years I replaced my Kindle - had a problem with the replacement - obtained another and it is great,,,
